10000, 1
Picasso, Femme nue assise (1910).jpeg
824, 75598.09375, 244973.109375
825, 71211.828125, 282860.21875
826, 73650.9296875, 242514.078125
827, 79764.75, 274959.125
828, 84653.1015625, 327356.125
829, 70605.484375, 233970.859375
830, 52799.8046875, 313648.0
831, 79258.2734375, 219785.265625
832, 68625.4609375, 282899.09375
833, 58704.59375, 269122.21875
834, 69654.2421875, 195714.46875
835, 78068.0234375, 300356.71875
836, 57106.09375, 338470.875
837, 63052.09375, 250857.515625
838, 68245.8984375, 228952.453125
839, 63757.98046875, 326036.46875
840, 70047.6015625, 255237.40625
841, 60355.875, 318978.15625
842, 77546.5625, 308784.65625
843, 69897.03125, 323803.09375
844, 79729.03125, 289876.40625
845, 76789.171875, 336525.625
846, 61786.4453125, 235664.171875
847, 63031.76953125, 234513.28125
848, 81800.40625, 310276.1875
849, 57607.328125, 298005.5
850, 67017.1875, 221006.171875
851, 55187.91015625, 293007.3125
852, 71041.234375, 257733.96875
853, 67004.1640625, 225790.453125
854, 82811.578125, 282411.5625
855, 89802.671875, 297010.03125
856, 53347.20703125, 221124.65625
857, 87069.71875, 417938.75
858, 65535.07421875, 212949.328125
859, 68889.9453125, 343333.46875
860, 63298.61328125, 236063.171875
861, 61818.7734375, 236492.78125
862, 60869.234375, 208425.28125
