10000, 1
Roy Lichtenstein, Bicentennial Print (1975).jpg
364, 2826979.0, 1655599.625
365, 2845831.0, 1629934.125
366, 2830119.25, 1577145.875
367, 2650076.75, 1646781.5
368, 2666933.0, 1588496.5
369, 2808136.75, 1567102.5
370, 2776298.0, 1481466.5
371, 2734700.75, 1641768.25
372, 2757747.75, 1669485.125
373, 2742853.25, 1521173.0
374, 2812583.5, 1440056.0
375, 2700462.75, 1707249.625
376, 2747639.25, 1478875.125
377, 2618997.75, 1534246.375
378, 2757743.75, 1660947.25
379, 2836715.25, 1477389.5
380, 2709067.5, 1698961.25
381, 2773246.0, 1580901.375
382, 2754247.5, 1466773.5
383, 2713387.25, 1507539.5
384, 2659982.75, 1518593.75
385, 2629134.5, 1578955.75
386, 2614855.0, 1522474.625
387, 2620028.75, 1558566.25
388, 2661157.25, 1465888.375
389, 2571838.75, 1574944.75
390, 2679940.75, 1429868.625
391, 2594561.0, 1686611.125
392, 2654160.25, 1527626.25
393, 2531538.0, 1653664.625
394, 2637709.5, 1713960.875
395, 2523735.75, 1525042.875
396, 2567442.5, 1591650.625
397, 2545516.75, 1578136.125
398, 2579858.75, 1586369.125
399, 2529922.0, 1568357.625
400, 2454428.5, 1631095.5
401, 2506663.25, 1605549.75
402, 2447449.0, 1519592.0
403, 2510471.75, 1709852.25
404, 2436763.0, 1531227.625
405, 2453458.5, 1656632.375
406, 2479035.5, 1541762.375
407, 2460165.5, 1583178.75
408, 2467520.25, 1606682.625
409, 2374824.0, 1710181.0
410, 2475725.25, 1580778.625
411, 2365390.0, 1798038.125
412, 2509692.0, 1479652.0
413, 2327713.25, 1607111.125
414, 2468138.0, 1663296.875
415, 2400521.5, 1558581.25
416, 2378659.0, 1784713.0
417, 2504406.75, 1874009.375
418, 2389216.75, 1565271.75
419, 2353620.5, 1708973.25
420, 2785852.0, 1625949.875
421, 2409779.0, 1521036.375
422, 2445013.5, 1559644.375
423, 2351284.75, 1541642.875
424, 2385804.0, 1554947.75
425, 2322728.5, 1536595.125
426, 2420893.0, 1625196.875
427, 2335802.25, 1661442.625
428, 2328995.5, 1682914.0
429, 2322484.0, 1589754.625
430, 2365897.5, 1568125.0
431, 2320159.75, 1599984.375
432, 2325775.25, 1555292.5
433, 2278439.25, 1593568.375
434, 2303968.25, 1607137.25
435, 2220866.25, 1676945.125
436, 2367281.25, 1550124.125
437, 2256749.25, 1631035.25
438, 2325878.25, 1581833.5
439, 2258589.5, 1706714.0
440, 2211026.5, 1757858.25
441, 2295262.0, 1535402.25
442, 2294711.5, 1602763.0
443, 2309241.75, 1503824.375
444, 2190509.5, 1620267.625
445, 2193256.25, 1573224.875
446, 2212834.25, 1589369.625
447, 2264745.5, 1655182.625
448, 2240114.0, 1620558.875
449, 2182244.25, 1568212.5
450, 2132736.5, 1687704.125
451, 2148861.75, 1680679.375
452, 2172735.0, 1698089.25
453, 2153077.75, 1675818.625
454, 2239922.0, 1470820.75
455, 2236091.0, 1608475.875
456, 2174559.5, 1734235.0
457, 2167328.0, 1607357.0
458, 2235967.75, 1625502.0
459, 2226535.0, 1556310.375
460, 2113282.75, 1554856.625
461, 2132843.25, 1480998.25
462, 2186951.25, 1553728.5
463, 2103266.5, 1590777.0
464, 2195277.25, 1599159.625
465, 2111720.25, 1617168.375
466, 2123147.75, 1588275.375
467, 2065862.375, 1804977.25
468, 2093599.5, 1660449.75
469, 2109731.75, 1525461.25
470, 2019553.375, 1677229.75
471, 2082945.25, 1555918.25
472, 2191356.0, 1659349.875
473, 2056573.25, 1604156.5
474, 2045489.25, 1583181.75
475, 2153630.25, 1530059.0
476, 2087782.375, 1521470.5
477, 2195196.25, 1541156.375
478, 2070172.875, 1594924.875
479, 2075532.25, 1643465.375
480, 1960081.75, 1670175.875
481, 2108622.5, 1573733.75
482, 2016396.625, 1695653.5
483, 2085707.625, 1587310.25
484, 1990812.625, 1628979.875
485, 1961039.375, 1591675.75
486, 1995481.75, 1593576.875
487, 1927700.25, 1795978.875
488, 1977535.25, 1864422.375
489, 1992789.75, 1606512.25
490, 2001910.125, 1669188.25
491, 1950527.625, 1610491.75
492, 1994061.5, 1567757.625
493, 1930127.375, 1611844.25
494, 1980004.75, 1639833.875
495, 1944611.25, 1624176.625
496, 1968607.375, 1690961.125
497, 1975872.875, 1571294.25
498, 1937599.125, 1696292.875
499, 1973881.0, 1592913.375
500, 1921843.125, 1642146.625
501, 1929095.25, 1761578.75
502, 1938826.0, 1636660.375
503, 1985619.75, 1734061.25
504, 2012652.375, 1603058.875
505, 1981380.875, 1733425.125
506, 1976502.125, 1521194.125
507, 1931898.0, 1619138.0
508, 1917757.125, 1718841.125
509, 1932353.75, 1583597.0
510, 1897022.875, 1538098.0
511, 1891611.625, 1612897.5
512, 1937442.25, 1635738.125
513, 1965146.125, 1536917.875
514, 1954468.0, 1583538.625
515, 1975872.25, 1726476.125
516, 1965432.75, 1689359.25
517, 1918979.375, 1614402.625
518, 1933378.625, 1788312.875
519, 1872179.625, 1750351.375
520, 1886176.125, 1728649.5
521, 1847183.125, 1594933.375
522, 1958196.75, 1669841.75
523, 1942071.375, 1638754.625
524, 1852673.5, 1584573.375
525, 1874270.5, 1658400.0
526, 1866063.375, 1625880.375
527, 1877327.0, 1631573.875
528, 1859584.75, 1552181.25
529, 1865987.875, 1591374.125
530, 1772123.75, 1571941.125
531, 1818243.625, 1558670.0
532, 1792240.5, 1551506.25
533, 1813802.25, 1594106.75
534, 1858685.375, 1649774.5
535, 1843603.625, 1568068.125
536, 1788589.25, 1644651.375
537, 1727866.5, 1650070.25
538, 1791378.125, 1743610.375
539, 1934230.125, 1734060.625
540, 1794785.25, 1772292.5
541, 1860670.625, 1558638.75
542, 1847143.625, 1621886.25
543, 1842687.75, 1584832.125
544, 1777280.25, 1572417.25
545, 1799910.0, 1706907.125
546, 1792765.25, 1624678.375
547, 1701038.25, 1726254.125
548, 1737950.75, 1633961.125
549, 1747475.125, 1775952.125
550, 1741057.25, 1605033.25
551, 1747256.75, 1687639.75
552, 1703367.25, 1682689.125
553, 1753001.75, 1580434.25
554, 1705886.875, 1661619.0
555, 1665817.125, 1596532.0
556, 1706896.125, 1645606.375
557, 1647035.625, 1636829.75
558, 1673653.75, 1585251.0
559, 1707779.125, 1595534.125
560, 1724191.125, 1727483.5
561, 1711327.25, 1791660.125
562, 1784480.375, 1707208.625
563, 1763963.75, 1605185.75
564, 1815917.75, 1521151.0
565, 1774520.25, 1536553.0
566, 1661962.0, 1619037.625
567, 1648898.875, 1640539.0
568, 1678872.75, 1583769.125
569, 1706235.875, 1521039.375
570, 1727650.625, 1564252.125
571, 1708515.625, 1549021.0
572, 1712442.0, 1570567.125
573, 1925568.25, 1641082.375
574, 1595998.625, 1619396.625
575, 1640208.5, 1693096.125
576, 1676384.0, 1735784.875
577, 1634277.875, 1670360.625
578, 1709435.875, 1633174.125
579, 1715501.25, 1650479.875
580, 1680744.125, 1651552.25
581, 1667549.125, 1691032.75
582, 1666523.75, 1767202.75
583, 1676460.125, 1636657.375
584, 1630661.125, 1647670.0
585, 1571733.625, 1566846.875
586, 1714287.375, 1596600.375
587, 1701034.875, 1579771.375
588, 1593198.375, 1815701.125
589, 1648717.5, 1475509.125
590, 1686686.75, 1539724.0
591, 1572886.25, 1596142.625
592, 1615761.875, 1681668.875
593, 1618607.375, 1635270.25
594, 1618957.0, 1559493.25
595, 1617579.375, 1565241.5
596, 1608681.625, 1602768.375
597, 1491976.25, 1747256.125
598, 1680586.375, 1670238.875
599, 1618809.0, 1649341.25
600, 1521168.875, 1588231.0
601, 1534426.375, 1837317.25
602, 1624001.75, 1581177.5
603, 1563055.5, 1681217.0
604, 1552284.25, 1607907.5
605, 1464859.0, 1751425.875
606, 1524617.875, 1641916.625
607, 1605855.625, 1555644.625
608, 1526888.125, 1656942.375
609, 1506820.75, 1901069.25
610, 1483149.5, 1743607.875
611, 1631996.0, 1690227.125
612, 1531821.875, 1644139.25
613, 1462905.5, 1708127.75
614, 1548121.25, 1683354.0
615, 1598475.125, 1533558.125
616, 1535074.875, 1783332.875
617, 1526849.375, 1756602.125
618, 1489482.125, 1603927.375
619, 1527938.5, 1738356.0
620, 1517207.375, 1606112.5
621, 1512880.875, 1708348.125
622, 1448909.75, 1664588.5
623, 1475238.875, 1702777.125
624, 1506972.125, 1740096.625
625, 1465089.5, 1686191.75
626, 1481050.25, 1591267.25
627, 1605460.125, 1571946.125
628, 2025972.25, 1549624.0
629, 1492687.75, 1660719.25
630, 1492688.875, 1624995.0
631, 1636764.25, 1630450.5
632, 1603673.625, 1580407.125
633, 1538276.5, 1673459.375
634, 1499890.625, 1606621.375
635, 1627131.0, 1632086.0
636, 1496204.75, 1567950.0
637, 1599563.125, 1594263.125
638, 1402563.25, 1662454.625
639, 1493853.0, 1674505.25
640, 1429698.875, 1772824.5
641, 1449407.625, 1602590.0
642, 1485765.375, 1607012.5
643, 1415541.375, 1771453.5
644, 1454614.5, 1632529.25
645, 1479040.25, 1596132.25
646, 1494487.625, 1649735.625
647, 1440728.375, 1527298.125
648, 1504002.875, 1573987.0
649, 1533140.75, 1602173.625
650, 1495824.75, 1748214.75
651, 1383960.5, 1624625.25
652, 1405218.75, 1755931.625
653, 1463012.5, 1622833.625
654, 1441826.75, 1548278.25
655, 1449893.125, 1651770.625
656, 1388476.125, 1692309.75
657, 1452288.875, 1670431.5
658, 1389058.0, 1810715.125
659, 1408168.375, 1826758.625
660, 1396619.75, 1648311.625
661, 1380800.0, 1649947.375
662, 1297650.5, 1658715.0
663, 1432139.0, 1619139.125
664, 1342539.5, 1639900.375
665, 1522605.75, 1637240.75
666, 1352417.875, 1669052.5
667, 1410757.0, 1659753.375
668, 1378428.625, 1817684.5
669, 1389354.5, 1648164.75
670, 1457300.125, 1606602.5
671, 1382970.375, 1794060.125
672, 1376084.75, 1604846.75
673, 1380622.25, 1623566.375
674, 1460593.875, 1720002.75
675, 1331501.25, 1752195.0
676, 1433486.75, 1743581.25
677, 1440830.0, 1564811.0
678, 1416951.0, 1660786.875
679, 1358197.625, 1577000.75
680, 1315077.5, 1634675.25
681, 1319908.875, 1738287.875
682, 1355691.625, 1601178.75
683, 1349488.625, 1787322.625
684, 1382576.0, 1661989.25
685, 1383689.375, 1604283.5
686, 1392192.875, 1646304.0
687, 1356845.125, 1645471.25
688, 1318000.25, 1655223.875
689, 1281029.25, 1738398.75
690, 1398715.125, 1600112.875
691, 1293078.625, 1821776.25
692, 1402990.75, 1790128.0
693, 1320930.125, 1772103.5
694, 1391270.75, 1690560.375
695, 1416440.875, 1744505.125
696, 1309110.625, 1710470.625
697, 1411122.25, 1651007.875
698, 1376630.625, 1627772.875
699, 1377604.0, 1552849.0
700, 1350884.75, 1722623.875
701, 1344740.625, 1560400.25
702, 1321922.625, 1665839.375
703, 1392533.0, 1691357.75
704, 1283034.625, 1869441.625
705, 1272939.5, 1568782.875
706, 1341739.75, 1625109.625
707, 1252411.125, 1768320.625
708, 1353659.375, 1552389.375
709, 1273174.0, 1817142.125
710, 1298634.875, 1733144.75
711, 1356683.0, 1593962.0
712, 1358881.625, 1536297.375
713, 1363645.0, 1572500.375
714, 1339651.875, 1767917.5
715, 1221675.875, 1787243.625
716, 1318597.25, 1626040.625
717, 1401586.625, 1670727.875
718, 1266990.125, 1561164.25
719, 1287855.25, 1621708.25
720, 1330748.375, 1660104.75
721, 1304477.75, 1544969.75
722, 1254206.875, 1814344.625
723, 1332882.125, 1604041.25
724, 1250270.0, 1709696.625
725, 1303513.25, 1729461.875
726, 1240062.0, 1634928.375
727, 1227567.375, 1692338.5
728, 1229439.625, 1671349.0
729, 1272358.0, 1579182.375
730, 1224434.875, 1621518.0
731, 1266688.625, 1642456.0
732, 1305605.125, 1584481.25
733, 1227969.5, 1754094.875
734, 1229217.625, 1622386.0
735, 1210506.25, 1619310.75
736, 1227108.125, 1779573.875
737, 1244646.25, 1698510.5
738, 1257782.25, 1724987.25
739, 1262427.625, 1739038.5
740, 1272336.125, 1701078.25
741, 1214270.125, 1676305.25
742, 1391981.0, 1536235.125
743, 1196874.125, 1780031.25
744, 1251667.75, 1665671.0
745, 1247795.0, 1577258.625
746, 1267304.0, 1601262.625
747, 1399585.125, 1561473.25
748, 1252658.125, 1727501.875
749, 1235953.125, 1663970.75
750, 1237212.875, 1734053.625
751, 1289064.5, 1734601.625
752, 1321394.75, 1790162.5
753, 1203216.875, 1725560.375
754, 1276876.125, 1523266.75
755, 1173478.75, 1691881.125
756, 1211667.875, 1681719.25
757, 1315202.875, 1606832.375
758, 1248878.75, 1584612.625
759, 1232248.0, 1701374.25
760, 1161172.75, 1759517.625
761, 1309337.375, 1472721.0
762, 1236092.625, 1735581.625
763, 1247182.125, 1737722.25
764, 1277943.375, 1731414.75
765, 1233353.0, 1764826.25
766, 1286457.25, 1667161.5
767, 1205504.875, 1634434.875
768, 1238334.625, 1580737.625
