10000, 1
Egon Schiele, Eith wiith Striped Dress, Sitting (1915).jpg
317, 337587.8125, 636987.25
318, 334326.15625, 643688.875
319, 351873.90625, 582853.4375
320, 332684.96875, 577433.4375
321, 346606.1875, 681760.125
322, 315709.0, 676335.0625
323, 369066.59375, 653226.5
324, 390998.875, 701828.125
325, 375836.375, 649615.1875
326, 357972.8125, 620332.25
327, 353267.25, 701883.5
328, 358849.4375, 550324.75
329, 349355.53125, 699298.75
330, 344502.5625, 678719.3125
331, 311469.8125, 559302.5
332, 335189.375, 593525.3125
333, 349641.0, 669667.5
334, 331532.625, 724053.0
335, 344222.78125, 541992.5625
336, 350236.375, 576675.4375
337, 327916.90625, 633714.375
338, 326896.5, 788285.8125
339, 319120.40625, 745841.375
340, 321030.3125, 713019.0625
341, 341058.15625, 629406.5
342, 323685.875, 599521.5625
343, 298455.40625, 677868.875
344, 327094.5, 553266.9375
345, 350822.09375, 558210.0625
346, 317980.53125, 676788.25
347, 330303.46875, 590883.0625
348, 336567.59375, 569825.4375
349, 328889.6875, 587882.25
350, 322788.59375, 615372.4375
351, 313845.75, 569212.125
352, 312585.03125, 778046.25
353, 320489.4375, 681828.6875
354, 303751.28125, 696589.625
355, 303957.28125, 582785.5625
356, 328123.21875, 635081.125
357, 321256.28125, 798237.0625
358, 338709.71875, 747811.125
359, 360497.53125, 690148.0625
360, 341346.625, 679600.9375
361, 318390.40625, 586536.8125
362, 341546.71875, 574776.75
363, 340403.5, 758674.4375
364, 317231.5625, 602197.8125
365, 301237.28125, 641373.0625
366, 312365.625, 733817.6875
367, 341054.40625, 791211.4375
368, 306332.4375, 639451.75
369, 298875.75, 702259.9375
370, 313194.90625, 699377.75
371, 340330.3125, 619325.1875
372, 349202.09375, 549176.3125
373, 301348.21875, 605296.5
374, 343288.09375, 641959.5
375, 326311.40625, 555869.6875
376, 328751.09375, 693459.4375
377, 321512.375, 680905.3125
378, 313114.90625, 567636.3125
379, 301724.3125, 701958.375
380, 305163.96875, 722213.5625
381, 332112.09375, 591662.75
382, 318791.125, 999961.75
383, 302279.46875, 654464.3125
384, 288961.25, 583558.4375
385, 299784.71875, 519248.28125
386, 317678.125, 709440.3125
387, 301817.53125, 594224.75
388, 306317.65625, 628442.375
389, 317984.84375, 636735.9375
390, 291376.90625, 637720.375
391, 285315.1875, 630812.9375
392, 305015.5, 612895.75
393, 313545.4375, 504069.53125
394, 292310.71875, 704796.5
395, 308023.03125, 559609.4375
396, 287013.375, 586647.0625
397, 288705.78125, 843659.0
398, 294787.8125, 833979.0625
399, 347834.5625, 841312.5
400, 300745.9375, 500455.34375
401, 316619.375, 638116.5625
402, 320003.34375, 585228.25
403, 303571.5625, 741269.0
404, 312429.125, 691762.0
405, 318141.6875, 744452.3125
406, 308351.59375, 666289.5
407, 299073.25, 671574.5
408, 264444.375, 664195.5625
409, 300520.34375, 727835.4375
410, 278928.71875, 633970.75
411, 297498.25, 526688.0
412, 286801.59375, 604724.1875
413, 284083.84375, 661187.125
414, 286331.53125, 631737.25
415, 285863.53125, 515742.71875
416, 288532.9375, 586414.8125
417, 288562.90625, 612973.5
418, 267616.21875, 598218.6875
419, 278180.53125, 628107.0
420, 272193.09375, 697744.4375
421, 286239.21875, 612693.1875
422, 266514.65625, 549350.375
423, 302195.21875, 652408.375
424, 280448.65625, 703982.75
425, 282676.4375, 649175.375
426, 280577.90625, 643389.875
427, 271830.90625, 632686.0625
428, 288518.875, 643449.3125
429, 305523.6875, 551940.375
430, 324238.28125, 583268.8125
431, 310749.96875, 612981.0
432, 293430.9375, 707806.5625
433, 272604.1875, 712548.0625
434, 271649.15625, 649339.3125
435, 274278.03125, 574782.3125
436, 266451.4375, 645929.25
437, 296634.78125, 706712.1875
438, 289090.3125, 881311.625
439, 299897.09375, 654507.25
440, 278926.03125, 631659.8125
441, 275803.1875, 669592.75
442, 282576.78125, 536385.8125
443, 301821.6875, 597917.25
444, 294879.53125, 525762.0625
